Song Name,Movie Name,File Path
Pehla Nasha,Jo Jeeta Wohi Sikandar,pehla-nasha.mp3
Ek Ladki Ko Dekha To,A Love Story,ek-ladki-ko-dekha.mp3
You Are My Soniya,Kabhie Khushi Kabhie Gham,you-are-my-soniya.mp3
Dheere Dheere Se Meri Zindagi Me Aana,Aashiqui,dheere-dheere-se.mp3
Mai Koi Aisa Geet Gaoon,Yes Boss,mai-koi-aisa-geet.mp3
Chaiya Chaiya,Dil Se,chaiya-chaiya.mp3
Aankhein Khuli,Mohabbatein,aankhein-khuli.mp3
Aati Kya Khandala,Ghulam,aati-kya-khandala.mp3
Radha Kaise Na Jale,Lagaan,radha-kaise-na.mp3
Guzarish,Ghajini,Guzarish.mp3
Ladki Kyon Na Jane Kyon,Hum Tum,Ladki Kyon Na Jane Kyon.mp3
Ek Pal Ka Jeena,Kaho Naa Pyaar Hai,Ek Pal Ka Jeena.mp3
Kajra Re,Bunty Aur Babli,Kajra Re Bunty Aur Babli.mp3
Dance Pe Chance,Rab Ne Bana Di Jodi,Dance Pe Chance.mp3
Tumse Milke Dil Ka,Main Hoon Na,Tumse Milke Dil Ka.mp3
Dil Dooba,Khakee,Dil Dooba Khakee (15sec).mp3
Chura Ke Dil Mera,Main Khiladi Tu Anari,Chura Ke Dil Mera (20sec).mp3
Dil Se Ye Kaha Hai,Dhadkan,Dil Ne Yeh Kaha Hain Dil Se Dhadkan(10sec).mp3
